listing_id,name,host_id,host_name,district_eng,latitude,longitude,room_type,price,district_tr
265297,"Sunny Flat for Room Price, Taksim",1391673,Serkan,Sisli,41.045,28.9863,Entire home/apt,302,Şişli
265772,Furnished Flats & Historical Room,1393796,Hülya,Sisli,41.05458,28.986720000000002,Private room,242,Şişli
270561,"Room minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",1351134,Bãśmä,Fatih,41.01077,28.945120000000003,Private room,103,Fatih
270883,only 10 minutes to Sultanahmet,1417732,Tayfun,Fatih,41.0248,28.94738,Entire home/apt,339,Fatih
271439,Charming Delightful Studio@Centre 3,466302,Fati,Beyoglu,41.02669,28.97594,Entire home/apt,169,Beyoğlu
277581,Standard Suites,1449395,Emre,Kadikoy,40.99259,29.025340000000003,Entire home/apt,254,Kadıköy
277589,Spacious Family Apt in Kadiköy,1449395,Emre,Kadikoy,40.99462,29.02552,Entire home/apt,441,Kadıköy
277592,1+1 65m2 Deluxe Suitler,1449395,Emre,Kadikoy,40.99295,29.026559999999996,Entire home/apt,302,Kadıköy
280227,Asian Side Apartment with SEA VIEW ,1460766,Birim,Kadikoy,40.97555,29.0431,Entire home/apt,605,Kadıköy
280776,Terrace Bosphorus Sea View Taksim,802569,Maria,Beyoglu,41.03392,28.98927,Entire home/apt,671,Beyoğlu
282117,"cozy quite home, in the center ",1465693,Asimo,Beyoglu,41.032070000000004,28.980520000000002,Entire home/apt,508,Beyoğlu
282148,"Furnished luxury apartment, Galata",1470523,Zeynep,Beyoglu,41.02575,28.973640000000003,Entire home/apt,472,Beyoğlu
282266,Design chic serviced apt in Galata.,1470523,Zeynep,Beyoglu,41.02373,28.97418,Entire home/apt,472,Beyoğlu
282289,Modern serviced flat in Galata,1470523,Zeynep,Beyoglu,41.025909999999996,28.974009999999996,Entire home/apt,538,Beyoğlu
282295,Modern chic serviced apt in Galata,1470523,Zeynep,Beyoglu,41.02532,28.973029999999998,Entire home/apt,472,Beyoğlu
282881,"top location,bright & cozy 2bdr apt",353220,Özge,Beyoglu,41.02841,28.97202,Entire home/apt,677,Beyoğlu
284645,Cute room opening to garden in Moda,748852,Asiye,Bahcelievler,41.00837,28.85343,Private room,181,Bahçelievler
287982,Lovely Room at the heart of İSTANBL,1323348,Feride,Sisli,41.06208,28.994259999999997,Private room,121,Şişli
287983,CENTRAL&SAFETY Location Bright Room,1323348,Feride,Sisli,41.062020000000004,28.995490000000004,Private room,121,Şişli
293754,2 bedr apart 5 mins from Airport ,1497897,Mehmet Emin,Bahcelievler,40.991440000000004,28.84474,Entire home/apt,599,Bahçelievler
294981,Cozy Furnished Flat in Residence,1520874,Eralp,Sisli,41.057829999999996,28.99253,Private room,339,Şişli
298136,Sanctuary of Peace,1536767,Ferhan,Adalar,40.871,29.1295,Entire home/apt,121,Adalar
304011,"Charming, central&cozy Beyoglu Apt.",1564870,Living Istanbul,Beyoglu,41.03435,28.9724,Entire home/apt,538,Beyoğlu
305801,Sweet Garden  House,1572930,Mehmet,Besiktas,41.050909999999995,29.02262,Private room,97,Beşiktaş
308216,Exclusivity in Istanbul Bosphorus View,1585558,Mert,Beyoglu,41.03655,28.990170000000003,Entire home/apt,810,Beyoğlu
309063,Exclusivity in Istanbul City View,1585558,Mert,Beyoglu,41.037890000000004,28.990140000000004,Entire home/apt,1355,Beyoğlu
310557,Studio apartment İstiklal Street,1597714,Behiye,Beyoglu,41.032340000000005,28.97472,Private room,611,Beyoğlu
314848,Centrally Located Bright StudioApt1,1438966,Görkem,Beyoglu,41.0364,28.97666,Entire home/apt,466,Beyoğlu
315554,"Bosphorous View, Greenary, comfrtbl",1620835,Rajesh,Besiktas,41.08725,29.037290000000002,Private room,284,Beşiktaş
317428,Room for sublet IN TAKSIM/CIHANGIR,85923,Irem,Beyoglu,41.03042,28.98457,Private room,169,Beyoğlu
318933,lovely home with sea view,1128679,Akın,Kadikoy,40.98447,29.022209999999998,Entire home/apt,302,Kadıköy
324576,Best Point Apartments&Suites,1667741,Best Point Hotel,Fatih,41.00315,28.97953,Private room,1010,Fatih
327123,"Small,cozy apatment in the center",1672545,Füsun,Beyoglu,41.035270000000004,28.99128,Entire home/apt,484,Beyoğlu
330043,İstanbul Beyoğlu Cihangir,1677640,Didem,Beyoglu,41.033229999999996,28.98525,Private room,472,Beyoğlu
332070,Full Bosphorus sea&Istanbul view ,1664518,Gokce Doruk,Uskudar,41.029709999999994,29.019170000000003,Private room,508,Üsküdar
338403,120m2 private apart Taxim.,1719162,Emre,Sisli,41.04099,28.98675,Entire home/apt,333,Şişli
338540,3 guests Walk to GRAND pazarيوسف باشا مشي لبيازيت,1351134,Bãśmä,Fatih,41.012370000000004,28.946590000000004,Private room,103,Fatih
341852,on Galata Roofs.  Super central istiklal avenue,1734426,Lino And Gioia,Beyoglu,41.03383,28.981679999999997,Entire home/apt,302,Beyoğlu
350818,Furnished Double BR with Breakfast,1778050,Ali Sinan,Beyoglu,41.03137,28.97318,Private room,744,Beyoğlu
351006,Full Bosphorus Sea View ◆ near Park,1664518,Gokce Doruk,Uskudar,41.0309,29.01983,Private room,236,Üsküdar
351790,in the city center,1782227,Sinan,Sisli,41.07587,29.009940000000004,Entire home/apt,242,Şişli
355170,Modern Deluxe Studio Near to Taksim,730566,Murat,Beyoglu,41.03788,28.98258,Private room,405,Beyoğlu
360053,Modern Flat 30m to Istiklal- Taksim,1821399,Hakan,Beyoglu,41.0339,28.9826,Entire home/apt,405,Beyoğlu
362196,Apartment in the Heart of the City2,792658,ISlK,Beyoglu,41.03893,28.98201,Entire home/apt,218,Beyoğlu
362228,Studio in the Heart of the City 1,792658,ISlK,Beyoglu,41.038309999999996,28.983490000000003,Entire home/apt,224,Beyoğlu
364077,A single room in Istanbul - Kadikoy,1839212,Ferhat,Kadikoy,40.99407,29.03697,Private room,236,Kadıköy
371051,"3 bedrooms, chic and central",1869420,Asli & Ali,Besiktas,41.0839,29.02777,Entire home/apt,484,Beşiktaş
374837,Charming Delightful Studio@Centre 2,466302,Fati,Beyoglu,41.02752,28.97705,Entire home/apt,133,Beyoğlu
376654,Room in ORTAKOY 550tl  furnished,1330264,Yao Francis,Besiktas,41.051,29.02191,Private room,133,Beşiktaş
376655,Room in ORTAKOY 550tl /month,1330264,Yao Francis,Besiktas,41.0522,29.02335,Private room,133,Beşiktaş
378120,"Invitation to Travel: Luxury, Quiet",1899923,Yves & Fatos,Beyoglu,41.03499,28.972379999999998,Entire home/apt,641,Beyoğlu
378383,Historic mansion center of Buyukada,1900682,Aysen,Adalar,40.87361,29.132890000000003,Entire home/apt,641,Adalar
380072,"truly unique accommodation,Istanbul",1907609,Filiz,Besiktas,41.0555,28.999779999999998,Private room,1016,Beşiktaş
385296,"Lot's of Light, Lot's of Green!",734040,Can,Sariyer,41.08679,29.05244,Private room,127,Sarıyer
387379,{Berry} Istanbul Modern Concept - Suite,1938185,Güner - Berivan - Erdal,Beyoglu,41.03699,28.9761,Entire home/apt,212,Beyoğlu
391645,"Bright flat, great view! Kadikoy",1958346,Adelaide And Ali,Kadikoy,40.99609,29.0278,Entire home/apt,441,Kadıköy
398075,Charming Delightful Studio@Centre 1,466302,Fati,Beyoglu,41.02728,28.97705,Entire home/apt,133,Beyoğlu
401359,Central Apt. in Popular Nisantaşı,2002975,Jülide,Sisli,41.0493,28.99618,Private room,333,Şişli
404473,Galata - Splendid flat + bureau,2015945,Linda,Beyoglu,41.02557,28.97733,Entire home/apt,562,Beyoğlu
411036,Charming Place Overlooking Galata Tower (+Terrace),2046456,Hanife,Beyoglu,41.03003,28.981479999999998,Private room,163,Beyoğlu
412766,CasaLoBueno#1 Splendid Galata Tower,2054075,Doret & Izel,Beyoglu,41.0295,28.973509999999997,Entire home/apt,871,Beyoğlu
422001,Cozy Room ANGORA - Single @ Kaboom Guest House,1806816,Kaboom Guest House,Beyoglu,41.03519,28.971770000000003,Private room,127,Beyoğlu
422065,Cute apartment in center of Beyoglu,2099221,Nahide,Beyoglu,41.03255,28.980320000000003,Entire home/apt,339,Beyoğlu
422071,Cozy Flat 1BR @Taksim Square,783470,Aslinaz,Beyoglu,41.03666,28.980929999999997,Entire home/apt,272,Beyoğlu
423833,Rooms for rent in Nişantaşı Şişli,2081426,Sanem,Sisli,41.05485,28.99202,Private room,272,Şişli
428901,"Minutes walk to center, 2 BDRM Apt",1770428,Cheng,Beyoglu,41.037490000000005,28.97505,Entire home/apt,181,Beyoğlu
429200,Pasha,182639,Mehmet Ali,Beyoglu,41.02871,28.97935,Entire home/apt,399,Beyoğlu
429475,SALE !!!City 1 bed Luxury Residence,1879849,Cecille,Sisli,41.06024,28.99147,Entire home/apt,339,Şişli
430954,{Berry} Taksim Authentic Concept - Suite,1938185,Güner - Berivan - Erdal,Beyoglu,41.03621,28.975920000000002,Entire home/apt,212,Beyoğlu
444383,"Sunny,Luxury,Comfy Private Room @ Perfect Location",2207891,Oge,Sisli,41.05509,28.988529999999997,Private room,67,Şişli
445208,fairly furnished flat @ city center,2170489,Atila,Sisli,41.05274,28.99108,Entire home/apt,381,Şişli
447142,Ottoman istanbul..Yusufpasha Tram ترام يوسف باشا,1351134,Bãśmä,Fatih,41.01263,28.944979999999997,Private room,103,Fatih
453816,Room in Central Istanbul / Cihangir,2254723,Yesim,Beyoglu,41.030440000000006,28.982979999999998,Private room,133,Beyoğlu
457790,Old City Sultanahmet Apart Istanbul,2231981,Adar,Fatih,41.00456,28.96857,Entire home/apt,266,Fatih
469638,Near the bosphorus,2330281,Omer,Besiktas,41.06678,29.0418,Private room,212,Beşiktaş
469811,"Couple friendly, Cute Roof w terrace in Beyoglu",2331089,Mehmet,Beyoglu,41.031220000000005,28.976029999999998,Entire home/apt,266,Beyoğlu
478289,ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,2368759,Angie,Basaksehir,41.0718,28.679209999999998,Entire home/apt,1016,Başakşehir
484153,"comfy room in Taksim, Istanbul",2395401,Özgür,Sisli,41.04418,28.98344,Private room,73,Şişli
484574,"Cosy,quiet apt on Burgaz ada Island",2395204,Orcan,Adalar,40.88085,29.065509999999996,Entire home/apt,466,Adalar
494981,Lovely Apartment in City Center,2434963,Ece,Beyoglu,41.03478,28.980629999999998,Private room,194,Beyoğlu
506168,"Pangaltı: Soul, Retro, Central",2494946,Onat,Sisli,41.04603,28.984240000000003,Private room,302,Şişli
507117,Duplex Penthouse Central Located,2499854,Ozan,Sisli,41.05794,28.994640000000004,Private room,133,Şişli
511142,The best room for young people,1298849,Berkan,Beyoglu,41.034659999999995,28.981640000000002,Private room,67,Beyoğlu
511597,Flats in Taksim 2 min. to square #2,2519004,Vedat Öz,Bagcilar,41.03183,28.845440000000004,Entire home/apt,339,Bağcılar
511807,decent price/quality balance in Ist,1105099,Necip,Fatih,41.01667,28.9303,Private room,67,Fatih
516610,Nakkas Apart,2543742,Nakkas,Fatih,41.0056,28.9704,Entire home/apt,738,Fatih
516720,Very central place-small room for 1,2544222,Biray Anil,Sisli,41.06262,28.984,Private room,67,Şişli
519364,"Elegant, bright, lovely sea views in Galata!",1366111,Julia & Tarkan,Beyoglu,41.02618,28.9761,Entire home/apt,1264,Beyoğlu
519468,"Cosy charm, fabulous terrace views in Galata!",1366111,Julia & Tarkan,Beyoglu,41.02496,28.97311,Entire home/apt,1264,Beyoğlu
520072,Room in Anatolian side of Istanbul,2404749,Sabite,Kadikoy,40.98268,29.047140000000002,Private room,121,Kadıköy
520189,"Cosy with frescoes, terrace views in Galata!",1366111,Julia & Tarkan,Beyoglu,41.02815,28.973329999999997,Entire home/apt,955,Beyoğlu
520238,Stylish gem with amazing charm and nightlife buzz!,1366111,Julia & Tarkan,Beyoglu,41.03567,28.97792,Entire home/apt,550,Beyoğlu
529151,"135 sqm. at Galata Tower, Beyoğlu",2599754,Sedat,Beyoglu,41.02747,28.974859999999996,Entire home/apt,671,Beyoğlu
536465,Spacious room in 2br renovated flat,2248444,Pinar,Beyoglu,41.037409999999994,28.976440000000004,Private room,121,Beyoğlu
536526,"A Lovely, Modern, 1bd Apt in Center",2248444,Pinar,Beyoglu,41.03703,28.974709999999998,Entire home/apt,236,Beyoğlu
537090,Great flat in central Istanbul,2639052,Yilmaz,Beyoglu,41.03102,28.981959999999997,Entire home/apt,514,Beyoğlu
538052,5 mın.bagdad str-30 mın.prınces isl,2643465,Muzaffer,Kadikoy,40.981320000000004,29.07824,Private room,393,Kadıköy
538538,flat in a safe & quiet district,2645069,Mehmet,Kadikoy,41.00931,29.043309999999998,Private room,181,Kadıköy
538833,Very Central Room With Sea View,2646839,Hexagram,Beyoglu,41.03068,28.98372,Private room,333,Beyoğlu
541071,"Sunny, comfy flat with big terrace, Cihangir",2660366,Basak,Beyoglu,41.029990000000005,28.97992,Entire home/apt,381,Beyoğlu
541989,Beautiful Triplex in City Center,2664929,Figen,Besiktas,41.075379999999996,29.035490000000003,Entire home/apt,544,Beşiktaş
542354,Nakkas Apart with Sea View,2543742,Nakkas,Fatih,41.00503,28.970579999999998,Private room,810,Fatih
544103,MECİDİYEKÖY APART 1+1 GÜNLÜK KİRALIK DAİRE,220972,Barış,Sisli,41.06798,28.99077,Entire home/apt,278,Şişli
546900,Very modern Apartment in Gayrettepe,2689464,Murat,Besiktas,41.0638,29.00437,Private room,937,Beşiktaş
549450,Spacious room in flat with terrace,2701190,Atilla,Besiktas,41.04457,28.99989,Private room,54,Beşiktaş
552337,Apartment for rent in Cihangir,2714151,Berrak,Beyoglu,41.03289,28.98485,Entire home/apt,605,Beyoğlu
553222,Cozy room in 2br renovated flat,2248444,Pinar,Beyoglu,41.03863,28.97695,Private room,121,Beyoğlu
553409,3C-Clean Comfortable and Cheap Room,2719457,Mutlu,Buyukcekmece,41.00975,28.5457,Private room,121,Büyükçekmece
555588,Historical Istanbul House @ Taksim ,2731976,Alexis,Sisli,41.04251,28.98788,Entire home/apt,278,Şişli
556293,A duplex @ heart of shop & dine,135136,Ozlem,Sisli,41.05352,28.998859999999997,Entire home/apt,744,Şişli
557488,MODERN FLAT CENTER of ISTANBUL,1903669,Volkan,Sisli,41.054520000000004,28.98674,Entire home/apt,393,Şişli
557744,Peaceful and easy to reach.,2742249,Ercüment Yalçın,Kadikoy,41.007670000000005,29.0326,Private room,236,Kadıköy
559714,Blue Suites by V Sultanahmet Deluxe,2751565,Volkan,Fatih,41.00507,28.980809999999998,Entire home/apt,810,Fatih
565598,"Fully furnished penthouse, Beyoglu",2781217,Fatma,Beyoglu,41.03541,28.976370000000003,Entire home/apt,151,Beyoğlu
568306,"Economic Apt @ Taksim SQ, Beyoglu",225378,Goksel,Beyoglu,41.0343,28.97999,Private room,302,Beyoğlu
568452,Terraced Ottoman Villa,2797172,Piril,Sariyer,41.16389,29.042109999999997,Private room,1016,Sarıyer
569323,"cosy & comfy room, very central",2802812,Rey,Beyoglu,41.03533,28.98769,Private room,212,Beyoğlu
570021,Designer Penthouse in Trendy Bebek,2779211,Bora,Besiktas,41.08333,29.040470000000003,Entire home/apt,1512,Beşiktaş
570820,"Flat for 5 pers, 2km to Taksim Sqr",2808952,Emre,Sisli,41.05298,28.9804,Entire home/apt,574,Şişli
571088,simple&clean room with amazin view in galata,2678583,Umut,Beyoglu,41.027409999999996,28.9765,Private room,169,Beyoğlu
572504,Bright room with balcony in 2b flat,2248444,Pinar,Beyoglu,41.03864,28.97669,Private room,121,Beyoğlu
572569,Lively room in 2b renovated flat,2248444,Pinar,Beyoglu,41.03745,28.9765,Private room,121,Beyoğlu
575482,"LARGE, SAFE & COMFORTABLE FLAT",2266179,Seyda Mari,Sisli,41.056059999999995,28.9832,Entire home/apt,357,Şişli
575662,Terraced Ottoman Villa - Room 1,2797172,Piril,Sariyer,41.16357,29.042440000000003,Private room,405,Sarıyer
576398,Terraced Ottoman Villa - Room 2,2797172,Piril,Sariyer,41.16267,29.04337,Private room,405,Sarıyer
576414,Terraced Ottoman Villa - Room 3,2797172,Piril,Sariyer,41.16257,29.04247,Private room,272,Sarıyer
576710,"CENTRAL PART OF ISTANBUL,TAXIM ",2836764,Cerith,Sisli,41.04295,28.982809999999997,Private room,181,Şişli
579551,"Cosy, quiet and central flat for 2",1958346,Adelaide And Ali,Kadikoy,40.99544,29.02968,Entire home/apt,206,Kadıköy
579873,{Berry} Turkish Delight Concept - Suite,1938185,Güner - Berivan - Erdal,Beyoglu,41.03577,28.9716,Entire home/apt,212,Beyoğlu
581815, STUDiO FLAT /ERASMUS STUDENT (İST,2951165,Şermin,Sisli,41.05019,28.986959999999996,Entire home/apt,339,Şişli
581984,2 Bedroom Apt. @ Sisli / Istanbul,2865901,Taceddin,Sisli,41.05131,28.9875,Entire home/apt,677,Şişli
582323,Private room (Central / Asian side),2866914,Gözde,Uskudar,41.01616,29.04219,Private room,441,Üsküdar
583129,double BR @ the heart of Cihangir,2872780,Galata,Beyoglu,41.02567,28.9751,Private room,405,Beyoğlu
583561,Room in Historic Flat by Bosphorus Coast,599748,Kaan,Sariyer,41.122659999999996,29.06917,Private room,242,Sarıyer
583846,spacious & cozy flat @ city center,820117,Mustafa,Beyoglu,41.03951,28.98167,Entire home/apt,302,Beyoğlu
585043,amazing room with bosphorus view in galata,2678583,Umut,Beyoglu,41.025079999999996,28.977890000000002,Private room,169,Beyoğlu
588204,"room, quarto, camera in a nice town",2901249,Koray,Uskudar,41.0097,29.047340000000002,Private room,236,Üsküdar
591954,Cosy Double Room with Huge Terrace!,2541656,Başak,Besiktas,41.05087,29.00637,Private room,97,Beşiktaş
