,point_of_origin,nearest_point,distance_in_meter
168,POINT (28.98778 41.0517),POINT (28.9868253 41.0523695),124.31187586555578
169,POINT (28.99722 41.05076),POINT (28.9946951 41.0530658),358.88453873285596
170,POINT (28.98875 41.06301),POINT (28.9892473 41.0625182),73.04046289258307
171,POINT (28.99964000000001 41.07183),POINT (28.9996767 41.07080525),99.9336685582041
172,POINT (28.99011 41.07358),POINT (28.9899423 41.06849260000001),496.10659598833035
173,POINT (28.99687 41.06256),POINT (28.9967448 41.0652149),259.0704112594942
174,POINT (28.99893 41.06334),POINT (28.9982534 41.0655781),230.614465577863
175,POINT (28.9837 41.04238),POINT (28.9821093 41.0412067),210.1388318067243
176,POINT (28.98486 41.06035),POINT (28.9863997 41.05934910000001),196.5621352571272
177,POINT (28.98503 41.05835),POINT (28.9863997 41.05934910000001),180.35124862040766
178,POINT (28.98529000000001 41.06065),POINT (28.9863997 41.05934910000001),176.63410895471543
179,POINT (28.98435 41.04253),POINT (28.9821093 41.0412067),279.8363598283118
180,POINT (28.98642000000001 41.04167),POINT (28.9821093 41.0412067),479.9072302096501
181,POINT (28.98459 41.06153),POINT (28.98725545 41.06247485),309.4432855081061
182,POINT (28.98695 41.05703),POINT (28.9863997 41.05934910000001),234.08527742146293
183,POINT (28.99195 41.05074000000001),POINT (28.993006 41.05005999999999),134.49814404165886
184,POINT (28.9843 41.0454),POINT (28.9821093 41.0412067),475.3478811119113
185,POINT (28.98498 41.04227),POINT (28.9821093 41.0412067),334.6242428691982
186,POINT (29.01113 41.11174000000001),POINT (29.017713 41.0877267),2450.642355887434
187,POINT (28.98612 41.05884),POINT (28.9863997 41.05934910000001),58.501829869037984
188,POINT (28.98294000000001 41.05171),POINT (28.9868253 41.0523695),435.39890206069384
189,POINT (28.98036 41.05044),POINT (28.97870225 41.05463435),448.1686237813812
190,POINT (28.98494 41.04639),POINT (28.98894300000007 41.05008799900003),571.5915086580892
191,POINT (28.97844000000001 41.04601),POINT (28.9821093 41.0412067),620.1041619040193
192,POINT (29.00781 41.06774),POINT (29.0084154 41.0687452),118.71923814741268
193,POINT (28.98043 41.05431),POINT (28.97870225 41.05463435),194.08737396065257
194,POINT (28.98007 41.05565),POINT (28.97870225 41.05463435),181.04920496961566
195,POINT (29.00587 41.08782),POINT (29.01134024300007 41.08607120700003),629.7860001452615
196,POINT (28.98484 41.04759),POINT (28.98894300000007 41.05008799900003),515.8145937908301
197,POINT (28.97904 41.05349),POINT (28.97870225 41.05463435),117.6418272218554
198,POINT (28.98489 41.06031),POINT (28.9863997 41.05934910000001),191.74882714228028
199,POINT (28.98671 41.0423),POINT (28.9821093 41.0412067),520.9331828234712
200,POINT (28.99606 41.04876),POINT (28.993006 41.05005999999999),361.4195068061382
201,POINT (28.98449 41.04202),POINT (28.9821093 41.0412067),275.51298970942213
202,POINT (28.98617 41.04901),POINT (28.98894300000007 41.05008799900003),324.80459618732533
203,POINT (28.98388 41.04529),POINT (28.9821093 41.0412067),443.7011877455026
204,POINT (29.00121 41.06314),POINT (29.0009039 41.06547929999999),230.44757915381368
205,POINT (28.97383 41.05511),POINT (28.97870225 41.05463435),542.0037521253369
206,POINT (28.98394 41.04254),POINT (28.9821093 41.0412067),240.94512853086016
207,POINT (28.98468 41.0473),POINT (28.98894300000007 41.05008799900003),545.037879668321
208,POINT (28.98526 41.04227),POINT (28.9821093 41.0412067),364.25944028644756
209,POINT (28.99599000000001 41.06483),POINT (28.9967448 41.0652149),91.68129133377218
