point_of_origin,nearest_point,distance_in_meter
POINT (28.98481 41.04246),POINT (28.9821093 41.0412067),323.29333224954945
POINT (28.99619 41.04917),POINT (28.993006 41.05005999999999),363.40090463335054
POINT (28.99461 41.0629),POINT (28.9967448 41.0652149),326.9058011482146
POINT (29.00031 41.0722),POINT (28.9996767 41.07080525),152.9593501719677
POINT (28.98569 41.05516),POINT (28.9868253 41.0523695),299.640672825957
POINT (28.98129 41.04871),POINT (28.97870225 41.05463435),644.6878545423818
POINT (28.98329 41.04234),POINT (28.9821093 41.0412067),171.2411716868218
POINT (28.98262 41.0525),POINT (28.9868253 41.0523695),466.27005208818315
POINT (28.99679 41.06883),POINT (28.997029 41.067248),156.4123854808017
POINT (28.98536 41.044),POINT (28.9821093 41.0412067),451.5684106233857
POINT (28.98514 41.05038),POINT (28.9868253 41.0523695),269.22241830265835
POINT (28.98302 41.04934),POINT (28.9868253 41.0523695),514.8267932201518
POINT (28.9847 41.04856),POINT (28.9868253 41.0523695),439.6706851777177
POINT (28.98326 41.04208),POINT (28.9821093 41.0412067),153.327555721525
POINT (28.98778 41.0517),POINT (28.9868253 41.0523695),124.31187586555578
POINT (28.99722 41.05076),POINT (28.9946951 41.0530658),358.88453873285596
POINT (28.98875 41.06301),POINT (28.9892473 41.0625182),73.04046289258307
POINT (28.99964000000001 41.07183),POINT (28.9996767 41.07080525),99.9336685582041
POINT (28.99011 41.07358),POINT (28.9899423 41.06849260000001),496.10659598833035
POINT (28.99687 41.06256),POINT (28.9967448 41.0652149),259.0704112594942
POINT (28.99893 41.06334),POINT (28.9982534 41.0655781),230.614465577863
POINT (28.9837 41.04238),POINT (28.9821093 41.0412067),210.1388318067243
POINT (28.98486 41.06035),POINT (28.9863997 41.05934910000001),196.5621352571272
POINT (28.98503 41.05835),POINT (28.9863997 41.05934910000001),180.35124862040766
POINT (28.98529000000001 41.06065),POINT (28.9863997 41.05934910000001),176.63410895471543
POINT (28.98435 41.04253),POINT (28.9821093 41.0412067),279.8363598283118
POINT (28.98642000000001 41.04167),POINT (28.9821093 41.0412067),479.9072302096501
POINT (28.98459 41.06153),POINT (28.98725545 41.06247485),309.4432855081061
POINT (28.98695 41.05703),POINT (28.9863997 41.05934910000001),234.08527742146293
POINT (28.99195 41.05074000000001),POINT (28.993006 41.05005999999999),134.49814404165886
POINT (28.9843 41.0454),POINT (28.9821093 41.0412067),475.3478811119113
POINT (28.98498 41.04227),POINT (28.9821093 41.0412067),334.6242428691982
POINT (29.01113 41.11174000000001),POINT (29.017713 41.0877267),2450.642355887434
POINT (28.98612 41.05884),POINT (28.9863997 41.05934910000001),58.501829869037984
POINT (28.98294000000001 41.05171),POINT (28.9868253 41.0523695),435.39890206069384
POINT (28.98036 41.05044),POINT (28.97870225 41.05463435),448.1686237813812
POINT (28.98494 41.04639),POINT (28.98894300000007 41.05008799900003),571.5915086580892
POINT (28.97844000000001 41.04601),POINT (28.9821093 41.0412067),620.1041619040193
POINT (29.00781 41.06774),POINT (29.0084154 41.0687452),118.71923814741268
POINT (28.98043 41.05431),POINT (28.97870225 41.05463435),194.08737396065257
POINT (28.98007 41.05565),POINT (28.97870225 41.05463435),181.04920496961566
POINT (29.00587 41.08782),POINT (29.01134024300007 41.08607120700003),629.7860001452615
POINT (28.98484 41.04759),POINT (28.98894300000007 41.05008799900003),515.8145937908301
POINT (28.97904 41.05349),POINT (28.97870225 41.05463435),117.6418272218554
POINT (28.98489 41.06031),POINT (28.9863997 41.05934910000001),191.74882714228028
POINT (28.98671 41.0423),POINT (28.9821093 41.0412067),520.9331828234712
POINT (28.98449 41.04202),POINT (28.9821093 41.0412067),275.51298970942213
POINT (28.98617 41.04901),POINT (28.98894300000007 41.05008799900003),324.80459618732533
POINT (28.98388 41.04529),POINT (28.9821093 41.0412067),443.7011877455026
POINT (29.00121 41.06314),POINT (29.0009039 41.06547929999999),230.44757915381368
POINT (28.97383 41.05511),POINT (28.97870225 41.05463435),542.0037521253369
POINT (28.98394 41.04254),POINT (28.9821093 41.0412067),240.94512853086016
POINT (28.98468 41.0473),POINT (28.98894300000007 41.05008799900003),545.037879668321
POINT (28.98526 41.04227),POINT (28.9821093 41.0412067),364.25944028644756
POINT (28.99599000000001 41.06483),POINT (28.9967448 41.0652149),91.68129133377218
POINT (28.99095 41.05498),POINT (28.9910654 41.0517089),319.01650352829466
POINT (28.9858 41.04484),POINT (28.9821093 41.0412067),541.0201577865696
POINT (28.99224 41.06),POINT (28.9892825 41.0616722),366.06519633078096
POINT (28.98597 41.04459),POINT (28.9821093 41.0412067),540.1972664317635
POINT (28.97844000000001 41.04862),POINT (28.97870225 41.05463435),586.8727717840385
POINT (28.98662 41.04205),POINT (28.9821093 41.0412067),506.6554072728417
POINT (28.98498 41.04277),POINT (28.9821093 41.0412067),352.7694015834115
POINT (28.9979 41.06032),POINT (28.9993687 41.0557129),477.5196091880128
POINT (28.98437 41.05798),POINT (28.9863997 41.05934910000001),261.5527065740666
POINT (28.98467 41.04368),POINT (28.9821093 41.0412067),372.35633911287806
POINT (29.00015 41.06007),POINT (28.9995352 41.0557256),428.76362874609595
POINT (28.98636 41.05194),POINT (28.9868253 41.0523695),66.41930221602288
POINT (28.98574 41.05097),POINT (28.9868253 41.0523695),181.85204482109265
POINT (28.98119 41.06153),POINT (28.9863997 41.05934910000001),615.2932243120948
POINT (28.98535 41.05133),POINT (28.9868253 41.0523695),192.3520914482389
POINT (28.98545 41.05013),POINT (28.9868253 41.0523695),266.20629826514437
POINT (28.97875 41.05411),POINT (28.97870225 41.05463435),51.37586957235056
POINT (28.98506 41.0606),POINT (28.9863997 41.05934910000001),192.11599752630894
POINT (28.98292 41.0441),POINT (28.9821093 41.0412067),295.9382166049929
POINT (28.97975 41.05581),POINT (28.97870225 41.05463435),163.13658819618686
POINT (28.98588 41.04543),POINT (28.98894300000007 41.05008799900003),566.8343556916286
POINT (28.98506 41.05837),POINT (28.9863997 41.05934910000001),176.5002069845379
POINT (28.98298 41.04699),POINT (28.9821093 41.0412067),571.8153719905823
POINT (28.99565 41.0764),POINT (28.9996767 41.07080525),704.5449309149802
POINT (28.98347 41.04525),POINT (28.9821093 41.0412067),421.91506305341386
POINT (28.98384 41.06195),POINT (28.98725545 41.06247485),381.9929760291927
POINT (28.99629 41.06184),POINT (28.9967448 41.0652149),332.6984991336288
POINT (28.9847 41.05207),POINT (28.9868253 41.0523695),237.3600713410358
POINT (28.9846 41.04735),POINT (28.98894300000007 41.05008799900003),550.3635491917826
POINT (28.98469 41.06146),POINT (28.9863997 41.05934910000001),279.68935674355225
POINT (28.98369000000001 41.04501),POINT (28.9821093 41.0412067),409.9706310896223
POINT (28.99324 41.05926),POINT (28.99561331400002 41.05553430600003),448.32724395418825
POINT (28.9947 41.06487),POINT (28.9967448 41.0652149),229.11515299731678
POINT (28.99795 41.06408),POINT (28.998253 41.065578),149.77967339117393
POINT (28.98462 41.0595),POINT (28.9863997 41.05934910000001),197.80138693581827
POINT (28.97959 41.04862),POINT (28.97870225 41.05463435),594.3503949126238
POINT (29.00357 41.12028),POINT (29.01134024300007 41.08607120700003),3442.4961962395246
POINT (28.99454 41.05968),POINT (28.99561331400002 41.05553430600003),421.12282704976116
POINT (28.98382 41.04794),POINT (28.9868253 41.0523695),545.2409238617242
POINT (28.98017 41.04869),POINT (28.97870225 41.05463435),601.7328994803776
POINT (29.00049000000001 41.05962),POINT (28.9995352 41.0557256),393.9462068277938
POINT (28.99691 41.05371),POINT (28.9971406 41.05509910000001),137.7481969656745
POINT (28.98591 41.06994),POINT (28.9839321 41.0685933),255.50349822760847
POINT (28.97267 41.05774),POINT (28.9736036 41.0620394),431.62408910748763
POINT (28.97983 41.04729),POINT (28.9821093 41.0412067),644.439214460654
POINT (28.98209 41.04249),POINT (28.9821093 41.0412067),125.08318099279423
POINT (28.98356 41.05044),POINT (28.9868253 41.0523695),407.8442798323285
POINT (28.99068 41.05709),POINT (28.9892825 41.0616722),472.6295302372259
POINT (29.01163 41.06511),POINT (29.0084154 41.0687452),502.379625482793
POINT (29.00118 41.06384),POINT (29.0009039 41.06547929999999),162.6349921668875
POINT (28.98423 41.05545),POINT (28.9868253 41.0523695),415.7701370153292
POINT (28.98003 41.06415),POINT (28.9839321 41.0685933),612.0126629350713
POINT (28.98399 41.05632),POINT (28.9863997 41.05934910000001),398.08486261255774
POINT (28.98407000000001 41.06524),POINT (28.9839321 41.0685933),327.1494221047689
POINT (28.98715 41.06145),POINT (28.98725545 41.06247485),100.55410967896582
POINT (28.98711 41.04865),POINT (28.98894300000007 41.05008799900003),246.80345704186288
POINT (28.99027 41.05215),POINT (28.9910654 41.0517089),98.07948235334786
POINT (28.98307 41.05601),POINT (28.97870225 41.05463435),502.3227226599941
POINT (28.99535 41.06201),POINT (28.9967448 41.0652149),348.4632431192129
POINT (28.98557000000001 41.0492),POINT (28.9868253 41.0523695),338.763332885673
POINT (28.98366 41.05326),POINT (28.9868253 41.0523695),361.40159906965226
POINT (28.9834 41.04829),POINT (28.9868253 41.0523695),549.7120950766314
POINT (28.98447 41.04602),POINT (28.9821093 41.0412067),537.1169788306026
POINT (28.98243 41.04334),POINT (28.9821093 41.0412067),210.91855452814403
POINT (28.98677 41.05022),POINT (28.9868253 41.0523695),209.5611941788875
POINT (28.98442 41.04176),POINT (28.9821093 41.0412067),261.7224219948505
POINT (28.98236 41.04213),POINT (28.9821093 41.0412067),94.17333712990812
POINT (28.98186 41.04223),POINT (28.9821093 41.0412067),103.48365254064232
POINT (28.99766 41.07248),POINT (28.9996767 41.07080525),276.75363386840246
