,point_of_origin,nearest_point,distance_in_meter
176,POINT (29.10827 40.97942000000001),POINT (29.10863585 40.98505865),550.3453107227061
177,POINT (29.14042 40.97776),POINT (29.1315907 40.9814824),1043.509591590942
178,POINT (29.14232 40.99337),POINT (29.1307821 40.9830495),1626.0481281082054
179,POINT (29.12544 40.99497),POINT (29.1188532 40.99326729999999),748.6373462357387
180,POINT (29.15074000000001 40.98809),POINT (29.1315907 40.9814824),2217.7208153151605
181,POINT (29.08591 40.99462),POINT (29.0862389 40.992999),161.9730334275263
182,POINT (29.14299 40.9874),POINT (29.1315907 40.9814824),1388.5115497444954
183,POINT (29.08528 40.99466),POINT (29.0862389 40.992999),193.5114160643957
184,POINT (29.10122 40.99603),POINT (29.0989167 40.9950609),272.164244737946
185,POINT (29.08595 40.99473),POINT (29.0862389 40.992999),171.5418782827017
186,POINT (29.09826 40.99956),POINT (29.0989167 40.9950609),443.9778357222905
187,POINT (29.08677 40.9965),POINT (29.0862389 40.992999),345.8949864017547
188,POINT (29.14829000000001 40.9767),POINT (29.1315907 40.9814824),1908.5232732823022
189,POINT (29.14818 40.97625),POINT (29.1315907 40.9814824),1907.917396234828
190,POINT (29.14123 40.97902),POINT (29.1315907 40.9814824),1094.9416583783975
191,POINT (29.13978 40.97756),POINT (29.1315907 40.9814824),984.6744383088571
192,POINT (29.10979 40.9812),POINT (29.109711 40.985018),371.7312296673278
193,POINT (29.10853 40.97898),POINT (29.10863585 40.98505865),591.7932522012682
194,POINT (29.10786 40.98016),POINT (29.10863585 40.98505865),484.5132280976757
195,POINT (29.08618 40.9932),POINT (29.0862389 40.992999),20.62916721105998
196,POINT (29.14266 40.98426),POINT (29.1315907 40.9814824),1256.3192059523794
197,POINT (29.08219 41.00445),POINT (29.07273431600004 41.00658345600004),1068.4279319477234
198,POINT (29.13074000000001 40.98138),POINT (29.1315907 40.9814824),94.81495364097636
199,POINT (29.07638 41.00096),POINT (29.07273431600004 41.00658345600004),680.5061859292935
