,point_of_origin,nearest_point,distance_in_meter
229,POINT (28.9765 41.02741),POINT (28.9796001 41.03029625),444.0573948558584
230,POINT (28.97669 41.03864),POINT (28.9821093 41.0412067),650.6565563540688
231,POINT (28.9765 41.03745),POINT (28.9780884 41.0317305),584.563926659193
232,POINT (28.9832 41.05606),POINT (28.9863997 41.05934910000001),478.02859115563984
233,POINT (29.04244000000001 41.16357),POINT (29.05480284200007 41.16968134000007),1493.943030454477
234,POINT (29.04337 41.16267),POINT (29.05480284200007 41.16968134000007),1439.4539451486664
235,POINT (29.04247 41.16257),POINT (29.05480284200007 41.16968134000007),1532.379623157678
236,POINT (28.98281 41.04295),POINT (28.9821093 41.0412067),186.80309016376086
237,POINT (29.02968 40.99544),POINT (29.0381205 40.9852841),1361.5488765499178
238,POINT (28.9716 41.03577),POINT (28.9780884 41.0317305),819.8583357380923
239,POINT (28.98696 41.05019),POINT (28.98894300000007 41.05008799900003),220.01158444156923
240,POINT (28.9875 41.05131),POINT (28.9868253 41.0523695),127.48558063644727
241,POINT (29.04219 41.01616),POINT (29.04619549200004 41.02129809600007),668.9793135790012
242,POINT (28.9751 41.02567),POINT (28.9796001 41.03029625),672.3541528261915
243,POINT (29.06917 41.12266),POINT (29.1013868 41.0943323),4511.878188056993
244,POINT (28.98167 41.03951),POINT (28.9821093 41.0412067),172.3730449834245
245,POINT (28.97789 41.02508),POINT (28.9796001 41.03029625),542.554122650187
246,POINT (29.04734 41.0097),POINT (29.0428689 41.0072355),550.633340840273
247,POINT (29.00637 41.05087),POINT (29.0004588 41.0487174),687.9260009857172
248,POINT (28.95847 41.01989),POINT (28.95731345 41.01471045),520.9124544647964
249,POINT (29.03288 40.98628),POINT (29.0381205 40.9852841),588.8827300188725
250,POINT (28.98395 41.03112),POINT (28.9796001 41.03029625),488.7612336600499
251,POINT (28.97407 41.03572),POINT (28.9780884 41.0317305),591.224697147702
252,POINT (29.02981 41.07558),POINT (29.0253075 41.0777839),543.2607151591282
253,POINT (28.97035 41.00419),POINT (28.95731345 41.01471045),1771.8136053654782
254,POINT (29.06653 40.97637),POINT (29.0609895 40.9713669),783.8809071499404
255,POINT (28.97325 41.0305),POINT (28.9780884 41.0317305),549.5119938844869
256,POINT (29.02797 40.99429),POINT (29.0381205 40.9852841),1426.633848660399
257,POINT (28.97925 41.00626),POINT (28.95731345 41.01471045),2567.0671144728226
258,POINT (29.02619 41.04851),POINT (29.016612 41.066644),2061.0242290764095
259,POINT (29.02619 41.04944),POINT (29.016612 41.066644),1983.9163802526398
260,POINT (28.98025 41.00685),POINT (28.9796001 41.03029625),2286.153352672277
261,POINT (28.97901 41.00512),POINT (28.95731345 41.01471045),2580.0346963200977
262,POINT (29.04613 41.08665),POINT (29.03654855 41.07449),1590.7725248232907
263,POINT (28.92964000000001 40.99825),POINT (28.93311846700005 41.01505125600005),1682.9313480466594
264,POINT (28.97921 41.02769),POINT (28.9796001 41.03029625),257.65417110076464
265,POINT (28.97344 41.03626),POINT (28.9780884 41.0317305),678.4678544026965
266,POINT (28.98454000000001 41.06254000000001),POINT (28.98725545 41.06247485),301.03530483778843
267,POINT (28.98309 41.03837),POINT (28.9821093 41.0412067),297.05248600364746
268,POINT (28.97475 41.02699000000001),POINT (28.9780884 41.0317305),591.9175343945186
269,POINT (29.02736 40.99408),POINT (29.0381205 40.9852841),1468.5085591961272
270,POINT (28.31601 41.14007),POINT (28.24890332700005 41.07391090200008),9870.958425203087
271,POINT (28.97505 41.02574),POINT (28.9796001 41.03029625),671.9476664523298
272,POINT (28.96628 41.00457),POINT (28.95731345 41.01471045),1401.664910013825
273,POINT (28.9807 41.00311),POINT (28.95731345 41.01471045),2827.9258397747776
274,POINT (28.97683 41.02735),POINT (28.9796001 41.03029625),420.3731337069984
275,POINT (28.98204 41.03757),POINT (28.9821093 41.0412067),354.5004171936956
276,POINT (29.02497 40.99607),POINT (29.01217945 41.0053215),1679.9036108581138
277,POINT (28.9879 41.03196),POINT (28.99013805 41.03554045),428.1018068569408
278,POINT (28.93031 41.00349),POINT (28.93311846700005 41.01505125600005),1169.4434285331995
279,POINT (28.99166 41.05324),POINT (28.9910654 41.0517089),163.10781482354946
280,POINT (28.9767 41.02648),POINT (28.9796001 41.03029625),491.58025167620326
281,POINT (29.01908 41.03063),POINT (29.0346424 41.0199689),2013.395560505778
282,POINT (28.99017000000001 41.03686),POINT (28.99013805 41.03554045),128.63644565631336
283,POINT (28.97575 41.03474),POINT (28.9780884 41.0317305),391.4105959578625
284,POINT (28.97595 41.0244),POINT (28.9796001 41.03029625),702.7718119358976
285,POINT (28.97112000000001 41.03291),POINT (28.9780884 41.0317305),780.8533853699828
286,POINT (28.97398 41.02565),POINT (28.9796001 41.03029625),770.1063234504163
287,POINT (28.6788 40.98095),POINT (28.6558715 41.0035576),3367.656307723105
288,POINT (29.02561 41.05101),POINT (29.016612 41.066644),1820.5208118969654
289,POINT (28.97626 41.02514),POINT (28.9796001 41.03029625),624.1646071755259
290,POINT (28.98238 41.0304),POINT (28.9796001 41.03029625),308.27733166341113
291,POINT (28.97994000000001 41.03171),POINT (28.9796001 41.03029625),142.83863428680093
292,POINT (29.05965 40.9756),POINT (29.0609895 40.9713669),438.1493011523392
293,POINT (28.98094 41.03116),POINT (28.9796001 41.03029625),170.70683201475427
294,POINT (28.98067 41.03207),POINT (28.9796001 41.03029625),209.62895758137603
295,POINT (28.98048 41.03234000000001),POINT (28.9796001 41.03029625),221.77292355065245
296,POINT (28.97442 41.03735),POINT (28.9780884 41.0317305),682.1076957629961
297,POINT (28.98498 41.02935),POINT (28.9796001 41.03029625),603.3724778283114
298,POINT (28.94735 41.02837),POINT (28.953994 41.036385),1073.6684086653438
299,POINT (28.94597000000001 41.02985),POINT (28.953994 41.036385),1093.9755417724996
300,POINT (29.08375 41.02731),POINT (29.09504196300003 41.02544708100004),1264.6424663608636
301,POINT (28.92449 41.01966),POINT (28.93311846700005 41.01505125600005),1056.6517749773727
302,POINT (28.98099 41.03055),POINT (28.9796001 41.03029625),156.02250068213115
303,POINT (29.011 41.06311),POINT (29.0084154 41.0687452),619.2770523287289
304,POINT (28.94896 41.02959),POINT (28.953994 41.036385),866.0732158994063
305,POINT (28.94787 41.02885),POINT (28.953994 41.036385),1000.1338484200437
306,POINT (29.00181 41.05093),POINT (29.0001178 41.0527306),256.82479031851784
307,POINT (29.00582 41.05164),POINT (29.0001178 41.0527306),640.8791501447316
308,POINT (28.98687 41.03249),POINT (28.99013805 41.03554045),468.58008267405654
309,POINT (29.01251 41.0243),POINT (29.01217945 41.0053215),1849.3874815643987
310,POINT (28.99915 41.04298),POINT (29.0004588 41.0487174),577.5608509789756
311,POINT (28.98736 41.04995),POINT (28.98894300000007 41.05008799900003),175.96732899773613
312,POINT (29.02467 41.22204),POINT (29.0284631 41.2165614),679.3926229448477
313,POINT (28.81183 41.00382000000001),POINT (28.8200919 41.0030673),918.6318038907158
314,POINT (28.98401 41.03211),POINT (28.9796001 41.03029625),519.7535182284812
315,POINT (28.97534000000001 41.02788),POINT (28.9780884 41.0317305),483.3454503696382
316,POINT (28.97624 41.02868),POINT (28.9780884 41.0317305),361.0537970805686
317,POINT (29.02634 41.04837),POINT (29.016612 41.066644),2081.289330004256
318,POINT (28.94857 41.02981),POINT (28.953994 41.036385),878.7690049879565
319,POINT (28.9481 41.02875),POINT (28.953994 41.036385),990.3167427648549
320,POINT (28.97978 41.00394),POINT (28.95731345 41.01471045),2702.3251103415105
321,POINT (28.97864 41.05356),POINT (28.97870225 41.05463435),104.93204829281356
322,POINT (28.94567 41.03903),POINT (28.953994 41.036385),957.9452480398111
323,POINT (28.98389 41.03045),POINT (28.9796001 41.03029625),475.70909390006955
324,POINT (28.96917 41.00408),POINT (28.95731345 41.01471045),1673.4990257032036
325,POINT (28.98836 41.0497),POINT (28.98894300000007 41.05008799900003),74.86652038316912
326,POINT (28.96863 41.00444),POINT (28.95731345 41.01471045),1604.8034505548055
327,POINT (28.98159 41.02976),POINT (28.9796001 41.03029625),226.6587598507748
328,POINT (28.97369 41.03073),POINT (28.9780884 41.0317305),497.1547226563627
329,POINT (28.99873 41.07533),POINT (28.9996767 41.07080525),453.20413881458427
330,POINT (29.13958 40.94378),POINT (29.12400894000007 40.93558331700007),1901.2811048792282
331,POINT (29.00527 41.04236),POINT (29.0004588 41.0487174),817.3531880522078
332,POINT (29.58172 41.16284),POINT (29.17742505600006 41.03237008600007),46568.48520620891
333,POINT (29.17809 41.03261),POINT (29.17742505600006 41.03237008600007),77.30798277284859
334,POINT (29.02004 41.0822),POINT (29.0224208 41.0793328),384.25439393276525
335,POINT (28.84413 41.03003),POINT (28.839429 41.021644),970.1486067134631
336,POINT (29.04829 41.0428),POINT (29.06083285 41.0306245),1827.2016517788586
337,POINT (29.00687000000001 41.23412),POINT (29.0284631 41.2165614),2941.769541861719
338,POINT (29.00072 41.07186),POINT (28.9996767 41.07080525),154.7056362995054
339,POINT (29.20436 41.00618),POINT (29.17742505600006 41.03237008600007),3924.4408243802372
340,POINT (28.98308 41.03862),POINT (28.9821093 41.0412067),274.0862140476619
