,point_of_origin,nearest_point,distance_in_meter
188,POINT (29.02928 41.0248),POINT (29.0346424 41.0199689),758.0944677457327
189,POINT (29.0207 41.02667),POINT (29.0346424 41.0199689),1677.5388854737425
190,POINT (29.04345 41.01116),POINT (29.0428689 41.0072355),387.62832311912354
191,POINT (29.01764 41.02714),POINT (29.0346424 41.0199689),2009.7929111959668
192,POINT (29.0476 41.03209),POINT (29.04336283900005 41.02342207100003),966.0578473132912
193,POINT (29.07292 41.01861),POINT (29.07273431600004 41.00658345600004),1171.2117918628614
194,POINT (29.02089 41.01778),POINT (29.0346424 41.0199689),1539.1058162634283
195,POINT (29.01851 41.0278),POINT (29.0346424 41.0199689),1943.9882122657807
196,POINT (29.03225 41.0263),POINT (29.0346424 41.0199689),671.2877841655869
197,POINT (29.05175 41.00644000000001),POINT (29.0550429 41.0006797),669.2639747465572
198,POINT (29.01873 41.02629),POINT (29.0346424 41.0199689),1868.072753471654
199,POINT (29.03597 41.04011),POINT (29.03867389500005 41.02383388600003),1613.4342449416533
200,POINT (29.05754 41.07218),POINT (29.03654855 41.07449),2337.472168252733
201,POINT (29.01374 41.02279),POINT (29.01217945 41.0053215),1710.6659044214175
202,POINT (29.04923 41.01974000000001),POINT (29.04619549200004 41.02129809600007),368.98334951085496
203,POINT (29.01991 41.01718),POINT (29.01217945 41.0053215),1438.355452138742
204,POINT (29.04908 41.01277),POINT (29.0428689 41.0072355),874.3445000833848
205,POINT (29.02774 41.02916),POINT (29.0346424 41.0199689),1177.6441844502922
206,POINT (29.01205 41.02506),POINT (29.01217945 41.0053215),1923.12710450707
207,POINT (29.07124 40.99806),POINT (29.07273431600004 41.00658345600004),846.3051700419953
208,POINT (29.03152 41.01974000000001),POINT (29.0346424 41.0199689),346.7928081730442
209,POINT (29.01395 41.01376),POINT (29.01217945 41.0053215),845.2313525008351
210,POINT (29.01983 41.00342),POINT (29.01217945 41.0053215),867.9565036331485
211,POINT (29.03212000000001 41.03289),POINT (29.03867389500005 41.02383388600003),1142.7168031234883
212,POINT (29.01723 41.01805),POINT (29.01217945 41.0053215),1360.5675984173645
213,POINT (29.03294 41.03492),POINT (29.03867389500005 41.02383388600003),1252.980016456862
214,POINT (29.03246 41.03402),POINT (29.03867389500005 41.02383388600003),1207.7961629255233
215,POINT (29.03288 41.0333),POINT (29.03867389500005 41.02383388600003),1123.6387050446754
216,POINT (29.0622 41.05522),POINT (29.06083285 41.0306245),2399.926873019079
217,POINT (29.01831 41.02875),POINT (29.0346424 41.0199689),2002.1524490582094
218,POINT (29.0509 41.0322),POINT (29.06083285 41.0306245),1111.564464313084
219,POINT (29.02364 41.01405),POINT (29.0346424 41.0199689),1348.8981986784927
220,POINT (29.04902 41.00243),POINT (29.0550429 41.0006797),688.9780761108757
221,POINT (29.01934 41.02086),POINT (29.0346424 41.0199689),1698.2799374888464
222,POINT (29.02033 41.03137),POINT (29.0346424 41.0199689),1936.4709163254643
223,POINT (29.03372 41.03118),POINT (29.03867389500005 41.02383388600003),901.9359151425095
224,POINT (29.0202 41.01681),POINT (29.01217945 41.0053215),1429.3307539115274
225,POINT (29.03757 41.03199),POINT (29.03867389500005 41.02383388600003),803.7976549733348
226,POINT (29.04942 41.00859000000001),POINT (29.0428689 41.0072355),737.9880824701963
227,POINT (29.02711 41.02455),POINT (29.0346424 41.0199689),946.6418442568644
228,POINT (29.02108 41.02517),POINT (29.0346424 41.0199689),1586.2924435524935
229,POINT (29.01871 41.02597),POINT (29.0346424 41.0199689),1860.134937802675
230,POINT (29.07764 41.01361),POINT (29.07273431600004 41.00658345600004),873.9121148502408
231,POINT (29.03306 41.03267),POINT (29.03867389500005 41.02383388600003),1062.044764453284
232,POINT (29.01218 41.00648),POINT (29.01217945 41.0053215),112.8697559680852
233,POINT (29.01398 41.01389),POINT (29.01217945 41.0053215),858.3226542987197
234,POINT (29.04945 41.02162),POINT (29.04619549200004 41.02129809600007),362.07833369502833
235,POINT (29.07115 41.00727),POINT (29.07273431600004 41.00658345600004),187.89494816774805
236,POINT (29.01818 41.0278),POINT (29.0346424 41.0199689),1977.6827830045604
237,POINT (29.08072 41.01056),POINT (29.07273431600004 41.00658345600004),966.090056045416
238,POINT (29.02244 41.01609000000001),POINT (29.0346424 41.0199689),1404.258514769159
239,POINT (29.01293 41.02028),POINT (29.01217945 41.0053215),1459.7360455471007
240,POINT (29.03061 41.02633),POINT (29.0346424 41.0199689),763.9933521139458
241,POINT (29.02553 41.02438),POINT (29.0346424 41.0199689),1097.5884325067736
242,POINT (29.02115 41.02247),POINT (29.0346424 41.0199689),1515.163600884743
243,POINT (29.077 41.01459000000001),POINT (29.07273431600004 41.00658345600004),911.7511421995209
244,POINT (29.01958 41.0203),POINT (29.0346424 41.0199689),1669.770897943819
245,POINT (29.02846 41.03567),POINT (29.03867389500005 41.02383388600003),1615.8032752546026
246,POINT (29.02809 41.0247),POINT (29.0346424 41.0199689),860.1257095600948
247,POINT (29.04913 41.01167),POINT (29.0428689 41.0072355),817.3844245100718
248,POINT (29.01604 41.0125),POINT (29.01217945 41.0053215),819.8821420051197
249,POINT (29.03448 41.02459),POINT (29.03867389500005 41.02383388600003),470.634425419554
250,POINT (29.03203 41.03348),POINT (29.03867389500005 41.02383388600003),1193.7698090413166
251,POINT (29.01863 41.02284),POINT (29.0346424 41.0199689),1796.656401041036
252,POINT (29.05071 41.0066),POINT (29.0550429 41.0006797),750.3809952003452
253,POINT (29.04716 41.0055),POINT (29.0428689 41.0072355),504.7545635482983
254,POINT (29.03174000000001 41.03147),POINT (29.03867389500005 41.02383388600003),1069.521651543302
255,POINT (29.01773 41.02592),POINT (29.0346424 41.0199689),1962.103780137465
256,POINT (29.01568 41.01161),POINT (29.01217945 41.0053215),725.1821062495756
257,POINT (29.05639 41.00319),POINT (29.0550429 41.0006797),286.458191851483
258,POINT (29.03142 41.0329),POINT (29.03867389500005 41.02383388600003),1194.2627238143498
259,POINT (29.03067 41.03195),POINT (29.03867389500005 41.02383388600003),1188.2647930036158
260,POINT (29.07861 41.01358),POINT (29.07273431600004 41.00658345600004),942.4455769026364
261,POINT (29.02097 41.02397),POINT (29.0346424 41.0199689),1564.7173079867146
262,POINT (29.0183 41.02775),POINT (29.0346424 41.0199689),1963.5329041165446
263,POINT (29.05331 41.04688),POINT (29.06083285 41.0306245),1789.2105765681267
264,POINT (29.02088 41.02824),POINT (29.0346424 41.0199689),1725.0890121776356
265,POINT (29.04521 41.04432),POINT (29.06083285 41.0306245),2185.723571790601
266,POINT (29.0678 41.06792),POINT (29.03654855 41.07449),3522.40789708724
267,POINT (29.0148 41.01274),POINT (29.01217945 41.0053215),778.9346100992165
268,POINT (29.03081 41.02178),POINT (29.0346424 41.0199689),459.94711837451484
269,POINT (29.07731 41.00949),POINT (29.07273431600004 41.00658345600004),580.774088842757
270,POINT (29.01531 41.02358),POINT (29.01217945 41.0053215),1812.3771909181169
271,POINT (29.03627 41.01376),POINT (29.0346424 41.0199689),631.1135123024474
