point_of_origin,nearest_point,distance_in_meter
POINT (29.03042 40.98586),POINT (29.0381205 40.9852841),855.3366663829606
POINT (29.03141 40.98509),POINT (29.0381205 40.9852841),744.0075126139488
POINT (29.09425 40.95358),POINT (29.08519469200007 40.95789641000005),1088.0860447862658
POINT (29.03397 40.98451),POINT (29.0381205 40.9852841),466.1647333782031
POINT (29.02652 40.99617),POINT (29.0381205 40.9852841),1666.606016889393
POINT (29.02825 40.99717),POINT (29.0381205 40.9852841),1592.8935023120832
POINT (29.02414000000001 40.98448),POINT (29.0381205 40.9852841),1551.5249842162434
POINT (29.02422 40.98915),POINT (29.0381205 40.9852841),1586.0338644076771
POINT (29.0207 40.98781),POINT (29.0381205 40.9852841),1946.4373240123484
POINT (29.06803 40.97516),POINT (29.0609895 40.9713669),863.3493329842788
POINT (29.04697 40.9887),POINT (29.04693296500005 40.98701972100001),163.701981133283
POINT (29.03157 40.98764),POINT (29.0381205 40.9852841),761.4363445040325
POINT (29.02841 40.99704000000001),POINT (29.0381205 40.9852841),1571.5147776949052
POINT (29.02713 40.99177),POINT (29.0381205 40.9852841),1372.2343732133224
POINT (29.02595 40.99561),POINT (29.0381205 40.9852841),1682.6534486135126
POINT (29.08604 40.97187),POINT (29.09154825 40.9725396),613.9896625151594
POINT (29.02232 40.98932),POINT (29.0381205 40.9852841),1794.8535891792117
POINT (29.03017 40.98188),POINT (29.0381205 40.9852841),941.5242907679484
POINT (29.06544 40.98764),POINT (29.06724095 40.98946395),267.1893611463556
POINT (29.04745 40.98525),POINT (29.04693296500005 40.98701972100001),181.63820575701519
POINT (29.03961 40.99775),POINT (29.0428689 41.0072355),991.9884491977543
POINT (29.03337 40.98666),POINT (29.0381205 40.9852841),543.3168640466823
POINT (29.03449 40.99586),POINT (29.0381205 40.9852841),1105.9453886293388
POINT (29.03097 40.98983),POINT (29.0381205 40.9852841),907.8458330418657
POINT (29.0546 40.97492),POINT (29.0545995 40.9745877),32.36196626979164
POINT (29.02669 40.99035),POINT (29.0381205 40.9852841),1359.623614568007
POINT (29.06927 40.98434),POINT (29.06724095 40.98946395),547.2860189893273
POINT (29.04244000000001 40.9783),POINT (29.0400193 40.9830405),534.0191866078759
POINT (29.03259000000001 40.99479),POINT (29.0381205 40.9852841),1110.445760485236
POINT (29.04839 40.98618),POINT (29.04693296500005 40.98701972100001),181.02075934454743
POINT (29.05926 40.9891),POINT (29.06724095 40.98946395),885.2927321966788
POINT (29.04022 40.97181),POINT (29.0400193 40.9830405),1094.0909965633696
POINT (29.0362 40.99402),POINT (29.0381205 40.9852841),877.1322763133107
POINT (29.03082 40.98326),POINT (29.0381205 40.9852841),832.8344819584805
POINT (29.07957 40.9634),POINT (29.0801286 40.9609437),247.03929818422725
POINT (29.03383 40.99471),POINT (29.0381205 40.9852841),1033.9760281876743
POINT (29.02615 40.99616),POINT (29.0381205 40.9852841),1697.837660441335
POINT (29.03121 40.9847),POINT (29.0381205 40.9852841),768.0447350862535
POINT (29.06379 40.97017),POINT (29.0609895 40.9713669),331.560178075734
POINT (29.02453 40.98741),POINT (29.0381205 40.9852841),1520.4883189594805
POINT (29.02946 40.98281),POINT (29.0381205 40.9852841),989.688222428103
POINT (29.02502 40.9905),POINT (29.0381205 40.9852841),1538.3359772806843
POINT (29.02836 40.99727),POINT (29.0381205 40.9852841),1591.67547640219
POINT (29.0987 40.96796),POINT (29.09758958000003 40.97528789900008),723.8864366214644
POINT (29.02964 40.99694),POINT (29.0381205 40.9852841),1473.960926330972
POINT (29.03326 40.99621),POINT (29.0381205 40.9852841),1192.8244048614822
POINT (29.04282000000001 41.00311),POINT (29.0428689 41.0072355),401.8548872555815
POINT (29.03038 40.99439),POINT (29.0381205 40.9852841),1234.005049680168
POINT (29.02238 40.98391),POINT (29.0381205 40.9852841),1749.745412823214
POINT (29.02396 40.98632),POINT (29.0381205 40.9852841),1572.7375262726946
POINT (29.02692 40.99504),POINT (29.0381205 40.9852841),1563.3972931680044
POINT (29.08524 40.96363),POINT (29.081701 40.959921),533.1629232081814
POINT (29.07045 40.97192),POINT (29.0609895 40.9713669),1049.9543335064404
POINT (29.03444 40.99401),POINT (29.0381205 40.9852841),942.7704897771698
POINT (29.03325 40.99625),POINT (29.0381205 40.9852841),1196.8014908528824
POINT (29.02446 40.98156),POINT (29.0381205 40.9852841),1556.930374524296
POINT (29.03454 40.99572),POINT (29.0381205 40.9852841),1091.226803768227
POINT (29.03488 40.99641),POINT (29.0381205 40.9852841),1141.6815384171452
POINT (29.0281 40.99581),POINT (29.0381205 40.9852841),1511.5427153012747
POINT (29.02119 40.98659),POINT (29.0381205 40.9852841),1880.8200210319333
POINT (29.0521 40.99968),POINT (29.0550429 41.0006797),340.4012526392537
POINT (29.04386 40.99618),POINT (29.04693296500005 40.98701972100001),954.9798332347395
POINT (29.02931 40.99209000000001),POINT (29.0381205 40.9852841),1180.2935697756923
POINT (29.02658 40.98924),POINT (29.0381205 40.9852841),1335.8887272235418
POINT (29.02188 40.9829),POINT (29.0381205 40.9852841),1814.95581685016
POINT (29.02628 40.99517),POINT (29.0381205 40.9852841),1627.7584481694003
POINT (29.02652 40.99537),POINT (29.0381205 40.9852841),1618.142151469015
POINT (29.04025 40.99368),POINT (29.0381205 40.9852841),851.1581317287256
POINT (29.06241 40.98189),POINT (29.06724095 40.98946395),911.4075781526612
POINT (29.02975 40.98862),POINT (29.0381205 40.9852841),983.0139056251726
POINT (29.032 40.98783),POINT (29.0381205 40.9852841),722.2797943082553
POINT (29.0329 40.99283),POINT (29.0381205 40.9852841),935.4390925659183
POINT (29.02935 40.99577),POINT (29.0381205 40.9852841),1410.0433988363422
POINT (29.02845 40.99616),POINT (29.0381205 40.9852841),1507.0390430431266
POINT (29.06572 40.9774),POINT (29.0609895 40.9713669),787.4393665996641
POINT (29.08547 40.96538),POINT (29.081701 40.959921),676.0127275264575
POINT (29.02959 40.98968),POINT (29.0381205 40.9852841),1037.929845732389
POINT (29.04978 40.98575),POINT (29.04693296500005 40.98701972100001),338.92146453319356
POINT (29.02571 40.99408),POINT (29.0381205 40.9852841),1620.5550200742937
POINT (29.04258 40.99357),POINT (29.04693296500005 40.98701972100001),799.8683206681819
POINT (29.02277 40.98802),POINT (29.0381205 40.9852841),1722.1382145109362
POINT (29.0236 40.98591),POINT (29.0381205 40.9852841),1610.552545397589
POINT (29.03954 40.99674),POINT (29.0428689 41.0072355),1086.81100017381
POINT (29.02937 40.98887),POINT (29.0381205 40.9852841),1030.8537388580003
POINT (29.02961 40.98485),POINT (29.0381205 40.9852841),944.2198063727978
POINT (29.0252 40.99496),POINT (29.0381205 40.9852841),1714.393094275904
POINT (29.02878 40.99385),POINT (29.0381205 40.9852841),1329.651115840737
POINT (29.02208 40.98788),POINT (29.0381205 40.9852841),1795.7618893979366
POINT (29.08876 40.97875),POINT (29.0842411 40.9815672),571.0431512515489
POINT (29.02452000000001 40.98835),POINT (29.0381205 40.9852841),1536.7277788390536
POINT (29.02742000000001 40.98652),POINT (29.0381205 40.9852841),1192.0982291465039
POINT (29.02618 40.99557),POINT (29.0381205 40.9852841),1659.9314415626395
POINT (29.02965 40.98818),POINT (29.0381205 40.9852841),980.3002887778883
POINT (29.02469 40.9888),POINT (29.0381205 40.9852841),1527.476407748522
POINT (29.03084 40.98767),POINT (29.0381205 40.9852841),839.7436095072613
POINT (29.03826 40.98594),POINT (29.0381205 40.9852841),65.73104704571591
POINT (29.06395 40.97017),POINT (29.0609895 40.9713669),348.2179862860953
POINT (29.02894 40.99002),POINT (29.0381205 40.9852841),1117.2205347392055
POINT (29.06366 40.99481),POINT (29.06724095 40.98946395),654.6289641559351
POINT (29.09155 40.96674),POINT (29.09154825 40.9725396),564.6080601950531
POINT (29.03128 40.99054),POINT (29.0381205 40.9852841),914.8397719268055
POINT (29.02558 40.98221),POINT (29.0381205 40.9852841),1421.8324454041062
POINT (29.03364 40.99205),POINT (29.0381205 40.9852841),825.1907634791517
POINT (29.03219 40.99234000000001),POINT (29.0381205 40.9852841),951.0129183797167
POINT (29.0553 40.9805),POINT (29.0545995 40.9745877),580.9942559769844
POINT (29.03923 41.00042),POINT (29.0428689 41.0072355),776.7512999526427
POINT (29.0309 40.98633),POINT (29.0381205 40.9852841),806.7521988032711
POINT (29.06822 40.97844),POINT (29.0609895 40.9713669),1056.716575834968
POINT (29.08102 40.98699000000001),POINT (29.0842411 40.9815672),637.3498083397038
POINT (29.02384 40.98796),POINT (29.0381205 40.9852841),1604.1168410876144
POINT (29.02855 40.99453),POINT (29.0381205 40.9852841),1391.5200617640085
POINT (29.02671 40.99475),POINT (29.0381205 40.9852841),1565.1367011129853
POINT (29.02595 40.98773),POINT (29.0381205 40.9852841),1369.8119180364731
POINT (29.02988 40.98361),POINT (29.0381205 40.9852841),927.789735209765
POINT (29.0284 40.99522),POINT (29.0381205 40.9852841),1448.260380681942
POINT (29.02765 40.99742),POINT (29.0381205 40.9852841),1656.5713768042665
POINT (29.08527 40.95836),POINT (29.08519469200007 40.95789641000005),45.899923710785686
POINT (29.02572 40.99537),POINT (29.0381205 40.9852841),1689.4576104358487
