,centroid,origin_geometry,distance_origin_to_centroid,geometry
151,POINT (28.9796001 41.03029625),POINT (28.98168 41.03383),414.4227739528411,POINT (28.98168 41.03383)
152,POINT (28.9780884 41.0317305),POINT (28.97318 41.03137),545.1576820556766,POINT (28.97318 41.03137)
153,POINT (29.0346424 41.0199689),POINT (29.01983 41.0309),1956.8387722423277,POINT (29.01983 41.0309)
154,POINT (29.0167598 41.0740579),POINT (29.00994 41.07587),776.2229416875873,POINT (29.00994 41.07587)
155,POINT (28.9821093 41.0412067),POINT (28.98258 41.03788),328.3758091509899,POINT (28.98258 41.03788)
156,POINT (28.9796001 41.03029625),POINT (28.9826 41.0339),483.63322528542125,POINT (28.9826 41.0339)
157,POINT (28.9821093 41.0412067),POINT (28.98201 41.03893),222.15025831520342,POINT (28.98201 41.03893)
158,POINT (28.9821093 41.0412067),POINT (28.98349 41.03831),321.1082519639417,POINT (28.98349 41.03831)
159,POINT (29.0381205 40.9852841),POINT (29.03697 40.99407),865.2272954491475,POINT (29.03697 40.99407)
160,POINT (29.02571553100006 41.07891799500004),POINT (29.02777 41.0839),536.081504285787,POINT (29.02777 41.0839)
161,POINT (28.9796001 41.03029625),POINT (28.97705 41.02752),391.27344736114196,POINT (28.97705 41.02752)
162,POINT (29.016612 41.066644),POINT (29.02191 41.051),1633.2631024021011,POINT (29.02191 41.051)
163,POINT (29.016612 41.066644),POINT (29.02335 41.0522),1593.0362945615336,POINT (29.02335 41.0522)
164,POINT (28.9780884 41.0317305),POINT (28.97238 41.03499),707.9682492651793,POINT (28.97238 41.03499)
165,POINT (29.12400894000007 40.93558331700007),POINT (29.13289 40.87361),6110.933443783792,POINT (29.13289 40.87361)
166,POINT (28.9995352 41.0557256),POINT (28.99978 41.0555),34.91989011726319,POINT (28.99978 41.0555)
167,POINT (29.03654855 41.07449),POINT (29.05244 41.08679),2130.1481630167495,POINT (29.05244 41.08679)
168,POINT (28.9780884 41.0317305),POINT (28.9761 41.03699),557.9615099872252,POINT (28.9761 41.03699)
169,POINT (29.0381205 40.9852841),POINT (29.0278 40.99609),1554.478048792629,POINT (29.0278 40.99609)
170,POINT (28.9796001 41.03029625),POINT (28.97705 41.02728),407.79829457916117,POINT (28.97705 41.02728)
171,POINT (28.993006 41.05005999999999),POINT (28.99618 41.0493),359.50301593565547,POINT (28.99618 41.0493)
172,POINT (28.9796001 41.03029625),POINT (28.97733 41.02557),524.8556661820322,POINT (28.97733 41.02557)
173,POINT (28.9796001 41.03029625),POINT (28.98148 41.03003),209.96904355724095,POINT (28.98148 41.03003)
174,POINT (28.9780884 41.0317305),POINT (28.97351 41.0295),552.0522627859956,POINT (28.97351 41.0295)
175,POINT (28.9780884 41.0317305),POINT (28.97177000000001 41.03519),777.243483285098,POINT (28.97177000000001 41.03519)
176,POINT (28.9796001 41.03029625),POINT (28.98032000000001 41.03255),233.68903082207163,POINT (28.98032000000001 41.03255)
177,POINT (28.9821093 41.0412067),POINT (28.98093 41.03666),461.9805581239157,POINT (28.98093 41.03666)
178,POINT (28.9946951 41.0530658),POINT (28.99202 41.05485),343.7121061839525,POINT (28.99202 41.05485)
179,POINT (28.9780884 41.0317305),POINT (28.97505 41.03749000000001),654.5957231126787,POINT (28.97505 41.03749000000001)
180,POINT (28.9796001 41.03029625),POINT (28.97935 41.02871),157.0585505360351,POINT (28.97935 41.02871)
181,POINT (28.9892825 41.0616722),POINT (28.99147 41.06024),279.7530556278235,POINT (28.99147 41.06024)
182,POINT (28.9780884 41.0317305),POINT (28.97592 41.03621),498.3554214245688,POINT (28.97592 41.03621)
183,POINT (28.9868253 41.0523695),POINT (28.98853 41.05509),325.5522530795702,POINT (28.98853 41.05509)
184,POINT (28.9910654 41.0517089),POINT (28.99108 41.05274),100.49091953812005,POINT (28.99108 41.05274)
185,POINT (28.9458539 41.0123804),POINT (28.94498 41.01263),99.86844433955646,POINT (28.94498 41.01263)
186,POINT (28.9796001 41.03029625),POINT (28.98298 41.03044000000001),374.8746197218387,POINT (28.98298 41.03044000000001)
187,POINT (28.95731345 41.01471045),POINT (28.96857 41.00456),1592.31726386566,POINT (28.96857 41.00456)
188,POINT (29.03654855 41.07449),POINT (29.0418 41.06678),950.1269094839306,POINT (29.0418 41.06678)
189,POINT (28.9780884 41.0317305),POINT (28.97603 41.03122000000001),233.5056711016531,POINT (28.97603 41.03122000000001)
190,POINT (28.6790924 41.0620668),POINT (28.67921 41.0718),951.3955498891519,POINT (28.67921 41.0718)
191,POINT (28.9821093 41.0412067),POINT (28.98344 41.04418),325.1393657235215,POINT (28.98344 41.04418)
192,POINT (29.0636872 40.86833729999999),POINT (29.06551 40.88085),1235.1009776628239,POINT (29.06551 40.88085)
193,POINT (28.9780884 41.0317305),POINT (28.98063 41.03478),409.4895932359285,POINT (28.98063 41.03478)
194,POINT (28.9821093 41.0412067),POINT (28.98424 41.04603),526.0420108487187,POINT (28.98424 41.04603)
195,POINT (28.99561331400002 41.05553430600003),POINT (28.99464 41.05794),258.050389306252,POINT (28.99464 41.05794)
196,POINT (28.9780884 41.0317305),POINT (28.98164 41.03466),486.2783498274272,POINT (28.98164 41.03466)
197,POINT (28.839429 41.021644),POINT (28.84544 41.03183),1196.6247610764694,POINT (28.84544 41.03183)
198,POINT (28.93311846700005 41.01505125600005),POINT (28.9303 41.01667),349.99232455623854,POINT (28.9303 41.01667)
199,POINT (28.95731345 41.01471045),POINT (28.9704 41.0056),1700.7017105431999,POINT (28.9704 41.0056)
200,POINT (28.98725545 41.06247485),POINT (28.984 41.06262),361.0966791494204,POINT (28.984 41.06262)
201,POINT (28.9796001 41.03029625),POINT (28.9761 41.02618),558.0587971069185,POINT (28.9761 41.02618)
202,POINT (28.9796001 41.03029625),POINT (28.97311 41.02496),887.6481375925873,POINT (28.97311 41.02496)
203,POINT (29.04693296500005 40.98701972100001),POINT (29.04714 40.98268),423.2885498362966,POINT (29.04714 40.98268)
204,POINT (28.9780884 41.0317305),POINT (28.97333 41.02815),632.3953364179845,POINT (28.97333 41.02815)
205,POINT (28.9780884 41.0317305),POINT (28.97792 41.03567),384.39522495458573,POINT (28.97792 41.03567)
206,POINT (28.9780884 41.0317305),POINT (28.97486 41.02747),548.136654898156,POINT (28.97486 41.02747)
207,POINT (28.9780884 41.0317305),POINT (28.97644 41.03741),582.8979108862859,POINT (28.97644 41.03741)
208,POINT (28.9780884 41.0317305),POINT (28.97471 41.03703),637.9473374484211,POINT (28.97471 41.03703)
209,POINT (28.9796001 41.03029625),POINT (28.98196 41.03102),270.9041196928357,POINT (28.98196 41.03102)
210,POINT (29.0842411 40.9815672),POINT (29.07824 40.98132),665.5798628048008,POINT (29.07824 40.98132)
211,POINT (29.0428689 41.0072355),POINT (29.04331 41.00931),207.8838487959093,POINT (29.04331 41.00931)
212,POINT (28.9796001 41.03029625),POINT (28.98372 41.03068),458.15996918117725,POINT (28.98372 41.03068)
213,POINT (28.9796001 41.03029625),POINT (28.97992 41.02999000000001),46.3460694759849,POINT (28.97992 41.02999000000001)
214,POINT (29.03654855 41.07449),POINT (29.03549000000001 41.07538),145.87871948673288,POINT (29.03549000000001 41.07538)
215,POINT (28.95731345 41.01471045),POINT (28.97058 41.00503),1747.1175078189165,POINT (28.97058 41.00503)
216,POINT (28.9899423 41.06849260000001),POINT (28.99077 41.06798),104.45650128810564,POINT (28.99077 41.06798)
217,POINT (29.0009636 41.065532),POINT (29.00437 41.0638),413.55135268054875,POINT (29.00437 41.0638)
218,POINT (29.0004588 41.0487174),POINT (28.99989 41.04457),409.0053561758095,POINT (28.99989 41.04457)
219,POINT (28.9796001 41.03029625),POINT (28.98485 41.03289),634.4084487107613,POINT (28.98485 41.03289)
