hclinic_name,hclinic_search_url,lat,lon
Özel Bahat Hastanesi Küçükçekmece,https://www.google.com/maps/search/Özel Bahat Hastanesi Küçükçekmece,41.0508405,28.7965411
Mediliva,https://www.google.com/maps/search/Mediliva,40.9814824,29.1315907
Medicana Avcılar Hastanesi,https://www.google.com/maps/search/Medicana Avcılar Hastanesi,40.9813361,28.7214144
AEK Saç Ekim Merkezi,https://www.google.com/maps/search/AEK Saç Ekim Merkezi,40.9830495,29.1307821
Dr. Serkan Aygın Saç Ekimi Kliniği,https://www.google.com/maps/search/Dr. Serkan Aygın Saç Ekimi Kliniği,41.0670708,28.9954953
Hisar Hospital,https://www.google.com/maps/search/Hisar Hospital,41.02194615,29.1047873
Arenamed,https://www.google.com/maps/search/Arenamed,41.0006797,29.0550429
Dr.Deniz Küçükkaya,https://www.google.com/maps/search/Dr.Deniz Küçükkaya,41.05006,28.993006
Mira Saç Ekimi,https://www.google.com/maps/search/Mira Saç Ekimi,40.9830405,29.0400193
Best Hair Trans Saç Ekim Merkezi,https://www.google.com/maps/search/Best Hair Trans Saç Ekim Merkezi,41.0200872,28.914185
Medicaleste Estetik ve Saç Ekimi Merkezi,https://www.google.com/maps/search/Medicaleste Estetik ve Saç Ekimi Merkezi,40.9815672,29.0842411
Medistate Saç Ekim Merkezi,https://www.google.com/maps/search/Medistate Saç Ekim Merkezi,41.07449,29.03654855
Okan Üniversitesi Hastanesi,https://www.google.com/maps/search/Okan Üniversitesi Hastanesi,40.95915605,29.19725165
Avrupa Clinic,https://www.google.com/maps/search/Avrupa Clinic,41.0684926,28.9899423
World Plast Hair,https://www.google.com/maps/search/World Plast Hair,41.0655781,28.9982534
Emel Bayar Saç Ekimi Ve Estetik,https://www.google.com/maps/search/Emel Bayar Saç Ekimi Ve Estetik,41.0517089,28.9910654
Dr.Elif Eren Aydın,https://www.google.com/maps/search/Dr.Elif Eren Aydın,40.9950609,29.0989167
